"demo_role","demo_gender","demo_age","demo_domain","demo_year_study","demo_ai_know","f_aifm_energy","f_aifm_importance","f_aifm_impact","f_aifm_necessity","f_aifm_key_roles","fcf_studyPlace","fcf_aePlace","fcf_techSAT","fcf_rmatSAT","fcf_cleanSAT","fcf_atmpSAT","fcf_techAGT","fcf_amentNOM","fcf_topics"
"Student","Male","18-24","Facility","Year 4 (or more)","Somewhat good","Definitely yes","Very important","Somewhat positive","Strongly agree","Space Optimization,Energy Efficiency,Predictive Maintenance,Security,Other (please specify)","Classroom","Meeting Rooms","Neither satisfied nor dissatisfied","Somehow satisfied","Extremely satisfied","Extremely satisfied","Strongly agree","Probably yes","Predictive Maintenance,Space Optimization,Security & Privacy"
"Student","Female","18-24","Facility","Year 1","Somewhat good","Probably yes","Slightly important","Neither positive nor negative","Somewhat disagree","Energy Efficiency,Security","Classroom","Classroom/Lecture Hall","Extremely satisfied","Somehow satisfied","Extremely satisfied","Extremely satisfied","Agree","Might or might not","Security & Privacy"
"Student","Female","18-24","Facility","Year 1","Somewhat bad","Probably yes","Moderately important","Somewhat positive","Neither agree nor disagree","Space Optimization,Energy Efficiency,Security","Cafeteria","Meeting Rooms","Somewhat satisfied","Somehow satisfied","Somewhat satisfied","Somewhat satisfied","Neither agree nor disagree","Probably yes","Security & Privacy"
"Student","Female","18-24","Facility","Year 2","Somewhat good","Definitely yes","Very important","Somewhat positive","Somewhat agree","Predictive Maintenance","Cafeteria","Computer Lab","Somewhat satisfied","Somehow dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Agree","Probably yes","Predictive Maintenance,Space Optimization"
"Student","Female","18-24","Facility","Year 1","Somewhat bad","Probably yes","Extremely important","Somewhat positive","Somewhat agree","Predictive Maintenance,Security","Other (please specify)","Classroom/Lecture Hall","Extremely satisfied","Extremely satisfied","Somewhat satisfied","Somewhat satisfied","Agree","Might or might not","Predictive Maintenance,Space Optimization,Security & Privacy"
"Student","Female","18-24","Facility","Year 4 (or more)","Somewhat good","Probably yes","Slightly important","Somewhat negative","Strongly disagree","Energy Efficiency,Security","Cafeteria","Meeting Rooms","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Extremely satisfied","Extremely satisfied","Neither agree nor disagree","Probably yes","Space Optimization"
"Student","Male","18-24","Facility","Year 4 (or more)","Neither good nor bad","Probably yes","Very important","Somewhat positive","Strongly agree","Space Optimization,Energy Efficiency,Predictive Maintenance,Security","Library","Computer Lab","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Extremely satisfied","Extremely satisfied","Agree","Might or might not","Space Optimization"
"Student","Female","25-34","Facility","Year 3","Somewhat good","Definitely yes","Extremely important","Extremely positive","Strongly agree","Space Optimization,Energy Efficiency,Predictive Maintenance,Security","Classroom","Meeting Rooms","Somewhat dissatisfied","Somehow satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Strongly agree","Probably yes","Security & Privacy"
"Student","Female","18-24","Facility","Year 1","Somewhat bad","Probably yes","Moderately important","Somewhat positive","Neither agree nor disagree","Energy Efficiency","Classroom","Classroom/Lecture Hall","Somewhat satisfied","Somehow satisfied","Somewhat satisfied","Somewhat satisfied","Agree","Might or might not","Space Optimization"
"Student","Female","18-24","Facility","Year 4 (or more)","Somewhat good","Probably yes","Moderately important","Somewhat positive","Somewhat disagree","Space Optimization,Energy Efficiency","Library","Meeting Rooms","Somewhat satisfied","Somehow satisfied","Extremely satisfied","Somewhat satisfied","Agree","Might or might not","Space Optimization"
"Student","Female","18-24","Facility","Year 1","Extremely bad","Probably yes","Very important","Somewhat positive","Neither agree nor disagree","Energy Efficiency","Classroom","Other (please specify)","Somewhat satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Somewhat satisfied","Neither agree nor disagree","Probably yes","Space Optimization"
"Student","Female","18-24","Facility","Year 4 (or more)","Neither good nor bad","Probably yes","Moderately important","Somewhat positive","Strongly agree","Energy Efficiency,Predictive Maintenance","Cafeteria","Meeting Rooms","Somewhat satisfied","Somehow satisfied","Somewhat satisfied","Extremely satisfied","Agree","Probably not","Space Optimization"
